timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Vapor Pressure Deficit [2 m],Basel Soil Moisture [0-7 cm down]
20210607T1100,17.870245,0.7,86.57941,9.422101,353.41806,2.647602,0.341
20210607T1200,18.470245,0.6,81.345695,8.557102,345.37915,3.8218975,0.344
20210607T1300,19.440245,0.2,76.297134,9.007196,357.7094,5.160429,0.344
20210607T1400,18.920246,0,78.36543,9.826088,8.426956,4.559458,0.342
20210607T1500,19.530245,0,74.31573,9.422101,6.5819397,5.623291,0.341
20210607T1600,19.530245,0,74.411995,10.1376915,6.1154785,5.602213,0.339
20210607T1700,19.260244,0,79.12568,9.3876505,4.398697,4.493822,0.338
20210607T1800,18.740246,0,82.753456,7.9526596,5.194412,3.5939007,0.337
20210607T1900,18.090246,0,87.382385,6.519877,6.340164,2.5239887,0.336
20210607T2000,17.520245,0,90.824615,5.0911684,8.130096,1.7704868,0.335
20210607T2100,17.120245,0,92.92293,3.9763298,354.8056,1.3313866,0.335
20210607T2200,16.380245,0,97.47744,4.6938252,355.60132,0.4527092,0.334
20210607T2300,16.080246,0,98.41625,2.968636,345.96375,0.27882576,0.333
20210608T0000,16.140245,0,98.66998,4.6102495,38.659805,0.23505592,0.332
20210608T0100,16.030245,0,99.43226,4.1046314,15.255127,0.09963417,0.332
20210608T0200,15.800245,0,99.303566,3.7064266,330.94543,0.12042999,0.332
20210608T0300,16.100246,0,99.114,2.5455842,44.999985,0.15618324,0.332
20210608T0400,16.180246,0,98.79708,1.5273507,44.999985,0.21313667,0.332
20210608T0500,16.300245,0,98.10359,1.8,360,0.33860207,0.332
20210608T0600,16.680244,0,97.60778,2.9024127,352.875,0.43761444,0.332
20210608T0700,17.420246,1,96.20044,3.2599385,353.65985,0.7285347,0.332
20210608T0800,18.010244,0.5,91.84873,4.379589,350.5377,1.6223488,0.331
20210608T0900,18.780245,0.2,90.3312,4.1046314,344.74487,2.0198822,0.333
20210608T1000,18.730246,0.2,91.01936,6.87779,353.991,1.870245,0.345
20210608T1100,19.260244,0.6,90.765144,7.754637,338.1986,1.9880791,0.352
20210608T1200,19.840246,1.1,86.43481,8.209263,344.74487,3.027853,0.358
20210608T1300,20.410246,0.4,84.97155,9.565437,340.20114,3.4752789,0.363
20210608T1400,21.120245,0.5,82.146454,9.449572,342.25534,4.3136826,0.363
20210608T1500,20.720245,1.1,82.410736,8.427383,340.0169,4.146221,0.373
20210608T1600,20.650246,1.2,85.21109,9.346143,344.35776,3.471058,0.383
20210608T1700,20.350245,1.3,84.16226,6.638072,12.528809,3.6488342,0.389
20210608T1800,19.560246,0.6,87.62356,3.319036,12.528809,2.7147598,0.386
20210608T1900,18.760244,3.2,87.94583,3.5455887,336.0375,2.515047,0.38
20210608T2000,17.890245,2.3,90.26961,4.0249224,333.43497,1.9220276,0.392
20210608T2100,16.630245,0.3,95.1349,6.12,331.92752,0.8871536,0.393
20210608T2200,16.330246,0,95.79984,3.319036,77.47118,0.7513733,0.389
20210608T2300,16.530245,0,94.825966,1.484318,165.96376,0.93749046,0.386
20210609T0000,16.060246,0,96.84622,2.0364676,225,0.55452347,0.383
20210609T0100,15.450245,0,98.982025,1.2979984,123.69006,0.17211533,0.381
20210609T0200,14.550245,0.4,99.16752,1.08,89.99999,0.13280582,0.384
20210609T0300,14.830245,0.4,97.76416,1.8,53.130096,0.36320782,0.385
20210609T0400,14.520246,0,98.2048,2.5455842,44.999985,0.2858324,0.382
20210609T0500,14.950245,0,98.338615,1.609969,63.43495,0.27198982,0.38
20210609T0600,15.940246,0,97.720535,1.5273507,44.999985,0.39772415,0.378
20210609T0700,17.000246,0,95.27006,2.8116899,39.805573,0.8830681,0.376
20210609T0800,18.900246,0,86.89852,4.3349743,4.7636414,2.7576618,0.375
20210609T0900,20.350245,0,84.53622,5.04,360,3.5626793,0.373
20210609T1000,21.740246,0,73.59963,4.1046314,344.74487,6.6264896,0.37
20210609T1100,22.930244,0.2,69.4889,5.937272,345.96375,8.23531,0.369
20210609T1200,23.420246,0.2,65.62774,6.519877,353.65985,9.557377,0.368
20210609T1300,23.330246,0.2,64.115395,7.072878,345.25644,9.923649,0.367
20210609T1400,22.170246,0.1,66.76782,7.92,360,8.56377,0.366
